Popup_RuntimeAnalysisReady_Description,You will now need to play the game through in the browser so the Runtime Analysis tool can find scripts and classes that aren’t used. Play the game and refresh as many times as needed until you feel that you’ve touched all potential parts of the gameplay,"Вам необходимо пройти игру в браузере чтобы Анализ кода мог найти скрипты и классы, которые не используются. Играйте в игру и обновляйте столько раз, сколько необходимо, пока Вы не будете уверены, что затронули все части геймплея",为了让运行时分析工具找出未使用的脚本和类，现在需要您在浏览器中进行游戏。您可以尽可能多次的进行游戏流程直到您觉得所有可能使用的代码都已被检测到。
SizeBreakdownSection_OptimizeScripts,Optimise scripts,Оптимизировать скрипты,优化脚本
SizeBreakdownSection_RuntimeAnalysisSavedSize,~30% of scripts size saved by using Runtime Analysis,~30% от размера скриптов сохранено благодаря Анализу кода,运行时分析工具节约了近 30% 的脚本空间
SizeBreakdownSection_RuntimeAnalysisNotRun,We recommend running Runtime Analysis to find and remove all unused code,Рекомендуем запустить Анализ кода чтобы найти и исключить весь неиспользуемый код,我们建议使用运行时分析工具来找出并移除未使用的代码
ProjectDiagnostics_LP_ShouldTryRuntimeAnalysis_Description,We recommend running Runtime Analysis to find and remove all unused code,Рекомендуем запустить Анализ кода чтобы найти и исключить весь неиспользуемый код,我们建议使用运行时分析工具来找出并移除未使用的代码
ProjectDiagnostics_LP_ShouldTryRuntimeAnalysis_Details,"Navigate to the Runtime Analysis → Code tab to enable code stripping. Before uploading the playable, please make sure to have played all scenario’s of the playable in a development build to make Runtime Analysis work properly.","Перейдите в секцию Анализ кода > вкладка код, чтобы включить анализ кода",点击 运行时分析 > 代码 面板并启用代码排除
RuntimeAnalysisTab_Title,Runtime Analysis,Анализ кода,运行时分析
RuntimeAnalysisTab_СodeSectionName,Code,Код,代码
RuntimeAnalysisTab_Start,Start Analysis,Начать анализ,开始分析
Popup_RuntimeAnalysisReady_Ok,Okay,Окей,好的
Popup_RuntimeAnalysisReady_Cancel,Cancel,Отмена,取消
RuntimeAnalysisTab_Description,Click 'Start Analysis' to analyse the game during runtime to find and exclude all unused code and redundant shader variants.\nYou must play the entire game to make sure that needed code will not be excluded,"Нажмите 'Начать анализ' чтобы проанализировать билд в браузере для нахождения и исключения всего\nнеиспользуемого кода и лишних шейдер вариантов. Вы должны пройти всю игру чтобы быть уверенными, что\nнеобходимый код не будет исключен",点击 '开始分析' 来找出并排除游戏运行时没有用到的代码 \n您必须通过完整进行游戏流程来确保所有需要的代码不会被排除
RuntimeAnalysisTab_ExcludedCode,Excluded Code,Исключённый код,被排除的代码
RuntimeAnalysisTab_ExcludedModules,Excluded Modules,Исключённые модули,被排除的模块
RuntimeAnalysisTab_ModulePrefix_physics3d,Physics 3D,Physics 3D,Physics 3D
RuntimeAnalysisTab_ModulePrefix_physics2d,Physics 2D,Physics 2D,Physics 2D
RuntimeAnalysisTab_ModulePrefix_particle-system,Particle System,Particle System,Particle System
RuntimeAnalysisTab_ModulePrefix_reflection,Reflection,Reflection,Reflection
RuntimeAnalysisTab_ModulePrefix_prefabs,Prefabs,Prefabs,Prefabs
RuntimeAnalysisTab_ModulePrefix_mecanim-wasm,Mecanim (Avatar),Mecanim (Avatar),Mecanim (Avatar)
,,,
RuntimeAnalysisTab_ResetCode,Reset Code,Сбросить код,重置代码
RuntimeAnalysisTab_ResetShaders,Reset Shaders,Сбросить шейдера,重置着色器
,,,
PlaygroundSection_OpenPlayground,Open Creative Library,Открыть Creative Library,打开 Creative Library
PlaygroundSection_RefreshToolTip,Refresh available Applications,Обновить доступные Applications,刷新现有应用
EditorTab_AdNetworkSettings_FbDisableCompression,Disable Compression,Отключить сжатие,禁用压缩
Advanced_ForceBase64,Use Base64 encoding,Сжатие Base64,使用 Base64 编码
SizeBreakdownSection_Base64,"You can reduce size of you playable by up to ~15% by unchecking ""Use Base64 encoding"" in Settings > Advanced tab","Вы можете уменьшить размер билда на ~15%, выключив ""Сжатие Base64"" в Настройки > вкладка Дополнительные",您可以在 设置 > 高级 中取消 “使用 Base64 编码” 来减少 Playable 最多约15%的大小
,,,
ProjectDiagnostics_LP_TextMeshProVersion_Description,This TMP version is not fully supported,Эта версия TMP не поддерживается полностью,此 TMP 版本未被完全支持
ProjectDiagnostics_LP_TextMeshProVersion_Details,"The incorrect Text Mesh Pro for this Unity version is in use, please update or downgrade to the recommended version {0} in the package manager. Go to Window → Package Manager","Используется некорректная версия Text Mesh Pro, пожалуйста, обновите ее до рекомендуемой версии: {0} в Package менеджере. Перейдите в Window  → Package Manager",此 Unity 使用了不支持的 Text Mesh Pro 版本，请更新或降级至推荐版本: {0}
ProjectDiagnostics_LP_CinemachineVersion_Description,This Cinemachine version is not supported,This Cinemachine version is not supported,不支持此版本的 Cinemachine
ProjectDiagnostics_LP_CinemachineVersion_Details,"The incorrect Cinemachine version for this Unity version is in use, please update or downgrade to the recommended version {0} in the package manager. Go to Window → Package Manager.","Используется некорректная версия Cinemachine, пожалуйста, обновите ее до рекомендуемой версии: {0} в Package менеджере. Перейдите в Window  → Package Manager",此 Unity 使用了不支持的 Cinemachine 版本，请更新或降级至推荐版本: {0}
ProjectDiagnostics_LP_DOTweenVersion_Description,This DOTween version is not supported,This DOTween version is not supported,不支持此版本的 DOTween
ProjectDiagnostics_LP_DOTweenVersion_Details,"The incorrect DOTween version for this Unity version is in use, please update or downgrade to the recommended version {0} in the package manager. Go to Window → Package Manager.","Используется некорректная версия Dotween, пожалуйста, обновите ее до рекомендуемой версии: {0} в Package менеджере. Перейдите в Window  → Package Manager",此 Unity 使用了不支持的 DOTween 版本，请更新或降级至推荐版本: {0}
Advanced_Preloader_Background_Color,Background Color,Цвет фона,背景颜色
Universal_Reset,Reset,Сбросить,重置
,,,
Advanced_Tools_MSBuildWarning_Path,"<color=white>The MSBuild path is invalid, please specify a valid path to MSBuild version 15 or above.</color>\nClick here to view documentation on how to update or install a new version of MSBuild","<color=white>Путь к MSBuild невалиден, пожалуйста, укажите верный путь к MSBuild версии 15 или выше.</color>\nНажмите сюда, чтобы увидеть документацию или как обновить или установить новую версию MSBuild",<color=white>MSBuild 路径无效，请指定 MSBuild 15 或更高版本的有效路径。</color>\n点击此处查看有关如何更新或安装新版本 MSBuild 的文档
